model,date,item,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet
OpenAI-o3,25-04-16,0,60.970751131221704,50.83257918552036,10.47364705882353,10.829,13.525357466063348,12.990497737556563,11.954625565610861,0.712200939655304,0.7485617399215698
DeepL-v2-api-v3.8.0,25-12-10,1,62.17004081632652,51.56235827664399,10.289927437641722,10.8045,13.181818594104307,12.6108843537415,11.721782596371881,0.7137261033058167,0.7699531316757202
Deepseek-v3-deepthink,25-07-24,2,79.5617352112676,73.55399061032864,4.939500469483569,4.174799999999999,7.051147417840372,10.89014084507042,6.763897183098591,0.7094649076461792,0.7512671947479248
DeepSeek-R1-1776,25-07-24,3,73.86917647058823,79.11764705882354,5.400941176470589,3.332,7.832000000000001,12.071764705882355,7.159176470588236,0.6958122253417969,0.7728112936019897
qwen-3-235b-a22b-no-thinking,25-07-24,4,62.036,50.48148148148148,10.21488888888889,10.584,13.611407407407405,13.32777777777778,11.93451851851852,0.7105637192726135,0.7574700117111206
Human,25-09-30,5,86.19154591467824,79.15184381778742,3.8063470715835166,3.7648333333333333,5.871772957339118,9.66941431670282,5.778091919739698,0.7184709310531616,0.7331866025924683
Grok-4,25-07-25,6,74.13875457875457,59.15384615384615,7.117142857142859,7.431666666666667,9.501465201465198,11.413626373626379,8.865975274725276,0.7169928550720215,0.7405343651771545
Grok-4.1,25-12-10,7,73.48898647573589,59.763723150358,6.959264916467777,6.843666666666667,9.474688941925216,11.883054892601436,8.790168854415274,0.7182774543762207,0.7363116145133972
Gemini-3.0-Pro,25-12-10,8,63.142198614318715,51.47113163972286,10.065593533487299,10.6085,13.163413394919168,12.778290993071597,11.653949480369516,0.7154231071472168,0.7429754137992859
OpenAI-GPT-5.1-Pro,25-12-10,9,62.57645033112581,51.11920529801324,10.35709050772627,11.0985,13.483880794701989,12.680794701986759,11.905066501103754,0.7100000381469727,0.7461125254631042
Mistral-Medium-3,25-07-24,10,62.22909090909093,50.95454545454545,10.270909090909093,10.78,13.453636363636363,12.953636363636367,11.864545454545457,0.7154513001441956,0.7499902844429016
qwen-3-max,25-07-24,11,72.98297959183674,64.12471655328798,6.415258503401361,5.40225,8.810637188208613,12.221768707482994,8.212478599773242,0.7007440328598022,0.7684171199798584
OpenAI-GPT-4.1,25-07-24,12,72.3776199376947,58.88317757009346,7.182728971962614,6.990666666666667,9.803968847352028,12.146261682242994,9.030906542056076,0.7090052366256714,0.7489941716194153
Claude-4.0-Sonnet,25-07-24,13,72.66646153846153,58.81351981351982,7.148,7.007000000000001,9.828130536130534,12.16083916083916,9.035992424242423,0.718207597732544,0.7470703721046448
google-translate,25-09-07,14,74.34789189189186,64.92342342342343,6.233837837837839,5.439,8.391657657657657,11.704054054054055,7.942137387387388,0.7107642292976379,0.74649578332901
Gemini-2.5-Flash,25-07-24,15,64.036,51.56944444444444,9.926000000000002,10.584,13.110944444444442,12.74027777777778,11.590305555555556,0.7175031304359436,0.7610620260238647
Claude-4.5-Sonnet,25-12-10,16,62.28817312072894,50.7995444191344,10.251886104783601,10.7555,13.51722551252847,13.051936218678815,11.89413695899772,0.7161927819252014,0.757575273513794
Gemini-2.5-Pro,25-06-05,17,78.46810940919036,66.68052516411379,5.7068730853391685,5.59825,7.3727330415754935,10.393873085339173,7.267932303063459,0.7131612300872803,0.7636045813560486
Claude-4.1-Opus,24-09-30,18,77.35836144578312,73.40963855421687,5.2116144578313275,4.067,7.450072289156626,11.40674698795181,7.033858433734941,0.7120550274848938,0.7523332834243774
DeepL-v2-api-v3.4.1,25-06-05,19,73.98000000000002,64.64444444444445,6.318444444444445,5.5125,8.420222222222218,11.685333333333336,7.984125,0.7061530947685242,0.773702085018158
Maritaca-ai-Sabia-3.1,25-07-24,20,74.61563265306123,64.80498866213152,6.1794308390022685,5.40225,8.497712018140586,11.854421768707486,7.9834536564625855,0.7133509516716003,0.7463120818138123
Deepseek-v3.2-deepthink,25-12-10,21,79.15904680851062,73.58628841607565,4.9850799054373525,4.1454,7.124764066193855,10.990070921985819,6.811328723404257,0.714280903339386,0.7760249972343445
MoonshotAI-Kimi-K2,25-07-24,22,78.07294117647058,73.02352941176471,5.150352941176472,4.165,7.324470588235293,11.215529411764706,6.9638382352941175,0.702664315700531,0.7394723296165466
Nvidia-Llama-3.1-Nemotron-Ultra-253B-v1,25-07-24,23,64.32900000000001,51.32142857142857,10.0515,10.975999999999999,13.348857142857142,12.64107142857143,11.754357142857144,0.7151913046836853,0.7305381894111633
Claude-4.0-Sonnet-Thinking,25-07-24,24,71.63606951026856,58.85781990521327,7.247886255924172,6.892666666666666,9.865162717219587,12.30047393364929,9.07654739336493,0.7107868790626526,0.7441861033439636
