model_id,date,flesch_reading_ease,gulpease_index,flesch_kincaid_grade_level,gunning_fog_index,automated_readability_index,coleman_liau_index,final_readability_score,bertscore,comet
CHYPS-V-br20-Claude-4.0-Sonnet-25-07-24,2026-01-23,64.7,73.5,7.1,9.7,7.0,10.8,9,0.718207597732544,0.7470703721046448
CHYPS-V-br20-Claude-4.0-Sonnet-Thinking-25-07-24,2026-01-23,64.4,73.8,7.1,9.5,7.1,10.9,9,0.7107868790626526,0.7441861033439636
CHYPS-V-br20-Claude-4.1-Opus-24-09-30,2026-01-23,66.5,88.6,6.3,8.0,6.1,10.0,8,0.7120550274848938,0.7523332834243774
CHYPS-V-br20-Claude-4.5-Sonnet-25-12-10,2026-01-23,60.9,65.2,8.1,10.1,8.4,11.7,10,0.7161927819252014,0.757575273513794
CHYPS-V-br20-DeepL-v2-api-v3.4.1-25-06-05,2026-01-23,67.2,78.7,6.5,8.0,6.5,10.4,8,0.7061530947685242,0.773702085018158
CHYPS-V-br20-DeepL-v2-api-v3.8.0-25-12-10,2026-01-23,62.9,65.9,7.9,9.8,8.0,11.3,9,0.7137261033058167,0.7699531316757202
CHYPS-V-br20-DeepSeek-R1-1776-25-07-24,2026-01-23,63.5,80.0,6.9,8.9,7.4,11.6,9,0.6958122253417969,0.7728112936019897
CHYPS-V-br20-Deepseek-v3-deepthink-25-07-24,2026-01-23,65.5,74.3,7.0,9.5,6.7,10.5,8,0.7094649076461792,0.7512671947479248
CHYPS-V-br20-Deepseek-v3.2-deepthink-25-12-10,2026-01-23,64.7,74.3,7.1,9.3,6.8,10.6,8,0.714280903339386,0.7760249972343445
CHYPS-V-br20-Gemini-2.5-Flash-25-07-24,2026-01-23,62.6,66.2,7.9,9.6,8.0,11.4,9,0.7175031304359436,0.7610620260238647
CHYPS-V-br20-Gemini-2.5-Pro-25-06-05,2026-01-23,69.0,80.5,6.3,8.7,5.4,9.1,7,0.7131612300872803,0.7636045813560486
CHYPS-V-br20-Gemini-3.0-Pro-25-12-10,2026-01-23,61.8,66.0,8.0,10.5,8.1,11.4,9,0.7154231071472168,0.7429754137992859
CHYPS-V-br20-google-translate-25-09-07,2026-01-23,66.5,79.1,6.6,7.9,6.4,10.4,8,0.7107642292976379,0.74649578332901
CHYPS-V-br20-Grok-4-25-07-25,2026-01-23,66.2,73.0,7.0,9.5,6.5,10.1,8,0.7169928550720215,0.7405343651771545
CHYPS-V-br20-Grok-4.1-25-12-10,2026-01-23,65.4,74.8,7.0,9.0,6.7,10.5,8,0.7182774543762207,0.7363116145133972
CHYPS-V-br20-Human-25-09-30,2026-01-23,72.0,79.8,5.9,8.9,5.6,9.3,7,0.7184709310531616,0.7331866025924683
CHYPS-V-br20-Maritaca-ai-Sabia-3.1-25-07-24,2026-01-23,61.4,65.5,8.1,10.0,8.2,11.5,9,0.7133509516716003,0.7463120818138123
CHYPS-V-br20-Mistral-Medium-3-25-07-24,2026-01-23,60.4,65.3,8.2,10.0,8.3,11.6,10,0.7154513001441956,0.7499902844429016
CHYPS-V-br20-MoonshotAI-Kimi-K2-25-07-24,2026-01-23,67.2,87.9,6.2,8.0,5.9,9.8,7,0.702664315700531,0.7394723296165466
CHYPS-V-br20-Nvidia-Llama-3.1-Nemotron-Ultra-253B-v1-25-07-24,2026-01-23,63.4,65.4,7.8,9.9,8.1,11.3,9,0.7151913046836853,0.7305381894111633
CHYPS-V-br20-OpenAI-GPT-4.1-25-07-24,2026-01-23,64.7,73.6,7.1,9.0,7.0,10.8,8,0.7090052366256714,0.7489941716194153
CHYPS-V-br20-OpenAI-GPT-5.1-Pro-25-12-10,2026-01-23,61.5,65.0,8.1,9.6,8.2,11.4,9,0.7100000381469727,0.7461125254631042
CHYPS-V-br20-OpenAI-o3-25-04-16,2026-01-23,59.9,65.1,8.3,9.7,8.3,11.7,9,0.712200939655304,0.7485617399215698
CHYPS-V-br20-qwen-3-235b-a22b-no-thinking-25-07-24,2026-01-23,58.9,65.1,8.4,9.7,8.5,12.0,10,0.7105637192726135,0.7574700117111206
CHYPS-V-br20-qwen-3-max-25-07-24,2026-01-23,63.1,78.4,7.1,8.2,6.9,10.9,8,0.7007440328598022,0.7684171199798584
